match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,average_speed_mph
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3:56:11,4,12,300,2,1,6,5,AD,40,1,1,1,158,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.767,6.518,1,116.0,BW,NCTL,ND,116.13148788927336
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,3:13:32,3,13,201,0,2,6,6,5,6,2,1,2,99,102,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0.749,1,127.0,W,CTL,,119.14795918367346
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,25:37:54,3,8,134,0,2,2,5,15,40,2,1,2,51,83,2,2,0,0,0,1,B,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.599,21.189,5,110.0,W,CTL,D,112.07692307692308
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,4:19:56,5,13,337,2,2,6,6,8,9,2,2,2,169,168,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24.841,19.918,5,97.0,W,CTL,ND,110.13149847094802
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,3:04:23,4,10,246,2,1,5,4,40,30,1,1,1,129,117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.683,8.287,1,113.0,C,CTL,ND,110.27659574468085
2023-wimbledon-1306,Jiri Lehecka,Tommy Paul,6:19:45,5,8,332,2,2,5,2,40,30,2,1,1,176,156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29.077,31.122,6,106.0,C,CTL,D,109.10153846153847
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,5:16:48,3,13,232,2,0,6,6,6,2,1,1,1,123,109,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.265,5.583,1,117.0,BW,NCTL,D,108.33628318584071
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,2:10:56,3,10,190,0,2,4,5,0,40,2,1,2,90,100,2,2,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.274,9.497,3,124.0,C,NCTL,ND,112.65053763440861
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,2:24:44,4,10,213,2,1,5,4,40,15,1,2,1,115,98,1,1,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.179,6.655,3,101.0,BC,CTL,ND,113.17894736842105
2023-wimbledon-1310,Daniel Elahi Galan,Mikael Ymer,4:19:35,5,7,318,2,2,5,1,40,30,1,2,1,163,155,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.763,5.212,0,,BC,NCTL,D,
