match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_ace_sum,p2_ace_sum,p1_winner_sum,p2_winner_sum,p1_double_fault_sum,p2_double_fault_sum,p1_unf_err_sum,p2_unf_err_sum,p1_break_pt_won_sum,p2_break_pt_won_sum,p1_break_pt_missed_sum,p2_break_pt_missed_sum,serve_width_score,serve_depth_score,return_depth_score,p1_Psychological_Factor,p2_Psychological_Factor,p1_Physical_Factor,p2_Physical_Factor,p1_skill_factors,p2_skill_factors,p1_server_factors,p2_server_factors,p1_momentum,p2_momentum
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7.84,2,95,0,0,0,0,0,0,1,0,0,0,0,0,0.4,0.4,0.45,0.494076506,0.504957081,0.454953648,0.339353749,0.622957406,0.390283458,0.68312128,0.31333124,0.599811097,0.304965172
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:00:38,1,1,2,0,0,0,0,0,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118,0,0,0,0,0,0,1,0,0,0,0,0,0.65,0.8,0.45,0.496214645,0.504957081,0.534204027,0.427486422,0.788165572,0.221947612,0.956971019,0.051737757,0.818851551,0.315870825
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:01,1,1,3,0,0,0,0,15,15,1,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120,0,0,0,0,0,0,2,0,0,0,0,0,0.65,0.4,0.85,0.42714167,0.567150818,0.57567911,0.410439056,0.613226245,0.377816331,0.992575473,0.087342055,0.679873105,0.406152417
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:01:31,1,1,4,0,0,0,0,15,30,1,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130,0,0,1,0,0,0,2,0,0,0,0,0,0.75,0.8,0.85,0.480271356,0.516385287,0.755145369,0.329697807,0.730376828,0.280372321,0.975584283,0.070350939,0.755685077,0.252846377
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:21,1,1,5,0,0,0,0,30,30,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112,1,0,2,0,0,0,2,0,0,0,0,0,0.9,0.4,0,0.565801476,0.433427164,0.501258023,0.416937707,0.930815055,0.08168468,0.994393161,0.089159735,0.819118412,0.152677583
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:02:50,1,1,6,0,0,0,0,40,30,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97,1,0,2,0,0,0,2,0,0,0,0,0,0.75,0.4,0.45,0.567896336,0.433427164,0.44356038,0.367649815,0.755194875,0.244969624,0.639634823,0.269844973,0.539094308,0.372088455
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:03:33,1,1,7,0,0,0,0,40,40,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109,2,0,3,0,0,0,2,0,0,0,0,0,0.9,0.8,0.85,0.646527531,0.350469042,0.560921299,0.327345088,0.790209439,0.221253955,0.982271556,0.077038183,0.82577829,0.14595901
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:01,1,1,8,0,0,0,0,AD,40,1,2,2,4,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105,2,0,3,1,0,0,2,0,0,0,0,0,0.65,0.4,0.45,0.583125771,0.416459262,0.492829841,0.393407847,0.722444681,0.291519136,0.6916889,0.321898822,0.568650891,0.334999572
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:04:48,1,1,9,0,0,0,0,40,40,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128,2,0,3,1,0,0,1,0,0,0,0,0,0.4,0.8,0.85,0.64105618,0.354265525,0.513673594,0.555028092,0.582823547,0.41037237,0.940056749,0.034823561,0.668762335,0.39970449
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0:05:32,1,1,10,0,0,0,0,AD,40,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110,2,0,3,1,0,0,1,0,0,0,0,0,0.65,0.4,0.45,0.643943375,0.354265525,0.545149298,0.370259792,0.714847747,0.283923207,0.936209039,0.030975868,0.756816675,0.200379994
