p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,5.42,1
0,0,0,0,00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22.795,17.389,4
0,0,0,0,000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,31.071,25.307,5
0,0,0,0,0000,0,0,1,0,0,1,0,1,0,0,0,0,0,0,61.571,53.141,12
0,0,0,0,00000,0,0,1,1,0,1,0,1,0,0,0,0,0,0,91.899,85.74,21
0,0,0,0,000000,0,0,2,1,0,1,0,1,0,0,0,0,0,0,102.008,97.47699999999999,23
0,0,1,0,000000B,0,0,2,1,1,1,1,1,0,0,0,0,0,0,150.411,148.18599999999998,36
0,0,1,0,000000B0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,173.301,167.64299999999997,41
0,0,1,0,000000B00,0,0,2,2,1,1,1,1,0,0,0,0,0,0,194.91799999999998,186.30499999999998,46
0,0,1,0,000000B000,0,0,2,2,1,2,1,2,0,0,0,0,0,0,208.86799999999997,201.13299999999998,49
0,0,1,0,000000B0000,0,0,2,2,1,2,1,2,0,0,0,0,0,0,217.11799999999997,208.29399999999998,50
0,0,1,0,000000B00000,0,0,2,2,1,2,1,2,0,0,0,0,0,0,225.09099999999998,216.25599999999997,52
0,0,1,0,000000B000000,0,0,2,2,1,2,1,2,0,0,0,0,0,0,225.64499999999998,217.26399999999998,53
0,0,1,0,000000B0000000,0,0,2,3,1,2,1,2,0,0,0,0,0,0,237.384,229.37199999999999,57
0,0,1,0,000000B00000000,0,0,2,3,1,2,1,2,0,0,0,0,0,0,248.66799999999998,234.20999999999998,59
0,0,1,1,000000B00000000F,0,0,2,3,1,3,1,3,0,0,0,0,0,0,294.774,256.554,66
0,0,1,1,000000B00000000F0,0,0,2,4,1,3,1,3,0,0,0,0,0,0,303.362,263.41999999999996,68
0,0,1,1,000000B00000000F00,0,0,2,4,1,4,1,4,0,0,0,0,0,0,326.41400000000004,284.53499999999997,73
0,0,1,2,000000B00000000F00F,0,0,2,4,1,5,1,5,0,0,0,0,0,0,339.79200000000003,297.731,78
0,0,1,2,000000B00000000F00F0,0,0,2,4,1,5,1,5,0,0,0,0,0,0,341.53200000000004,300.437,79
0,0,1,2,000000B00000000F00F00,0,0,3,4,1,5,1,5,0,0,0,0,0,0,351.23300000000006,309.87600000000003,81
0,0,2,2,000000B00000000F00F00F,0,0,3,4,1,5,1,5,0,0,0,0,0,0,358.81500000000005,323.711,84
0,0,2,3,000000B00000000F00F00FF,0,0,3,4,1,5,1,5,0,0,0,0,0,0,376.39300000000003,343.837,90
0,0,2,3,000000B00000000F00F00FF0,0,0,3,4,1,5,1,5,0,0,0,0,0,0,380.533,349.38,91
0,0,2,3,000000B00000000F00F00FF00,0,0,3,4,1,5,1,5,0,0,0,0,0,0,390.398,360.416,92
0,0,2,3,000000B00000000F00F00FF000,0,0,3,4,1,6,1,5,0,0,0,0,0,0,404.132,373.936,96
0,0,2,3,000000B00000000F00F00FF0000,0,0,3,4,1,6,1,5,0,0,0,0,0,0,412.341,380.207,97
0,0,2,3,000000B00000000F00F00FF00000,0,0,3,4,1,6,1,5,0,0,0,0,0,0,419.499,385.534,98
0,0,2,3,000000B00000000F00F00FF000000,0,0,3,5,1,6,1,5,0,0,0,0,0,0,432.10200000000003,392.05199999999996,100
0,0,2,3,000000B00000000F00F00FF0000000,0,0,3,5,1,6,1,5,0,0,0,0,0,0,436.95000000000005,396.54999999999995,101
0,0,2,3,000000B00000000F00F00FF00000000,0,0,3,6,1,6,1,5,0,0,0,0,0,0,448.03000000000003,404.82599999999996,103
0,1,2,4,000000B00000000F00F00FF000000000,0,0,3,6,1,6,1,5,0,0,0,0,0,0,448.77700000000004,405.69699999999995,104
0,1,3,4,000000B00000000F00F00FF000000000F,0,0,3,6,1,6,1,5,0,0,0,0,0,0,498.59900000000005,461.8639999999999,120
0,1,3,4,000000B00000000F00F00FF000000000F0,0,0,3,6,1,6,1,5,0,0,0,0,0,0,504.492,468.6309999999999,121
0,1,3,4,000000B00000000F00F00FF000000000F00,0,0,3,6,1,6,1,5,0,0,0,0,0,0,508.619,471.5999999999999,122
0,1,4,4,000000B00000000F00F00FF000000000F00B,0,0,3,6,1,6,1,5,0,0,0,0,0,0,514.783,481.37299999999993,125
0,1,5,4,000000B00000000F00F00FF000000000F00BF,0,0,3,6,1,6,1,5,0,0,0,0,0,0,521.815,488.35499999999996,128
0,1,6,4,000000B00000000F00F00FF000000000F00BFF,0,0,3,6,1,6,1,5,0,0,0,0,0,0,543.8280000000001,511.203,135
0,1,6,4,000000B00000000F00F00FF000000000F00BFF0,0,0,3,6,1,6,1,5,0,0,0,0,0,0,545.5630000000001,513.802,136
0,1,6,5,000000B00000000F00F00FF000000000F00BFF0B,0,0,3,6,1,7,1,6,0,0,0,0,0,0,566.8780000000002,528.442,141
0,1,6,5,000000B00000000F00F00FF000000000F00BFF0B0,0,0,3,6,1,7,1,6,0,0,0,0,0,0,581.0890000000002,540.723,144
0,1,6,5,000000B00000000F00F00FF000000000F00BFF0B00,0,0,3,6,1,7,1,6,0,0,0,0,0,0,590.8280000000002,550.305,145
0,2,6,6,000000B00000000F00F00FF000000000F00BFF0B000,0,0,3,6,1,7,1,6,0,0,0,0,0,0,591.5650000000002,551.3919999999999,146
0,2,6,6,000000B00000000F00F00FF000000000F00BFF0B0000,0,0,3,7,2,7,2,6,0,0,0,0,0,0,627.3860000000002,597.746,153
0,2,6,6,000000B00000000F00F00FF000000000F00BFF0B00000,0,0,4,7,2,7,2,6,0,0,0,0,0,0,640.9380000000002,612.989,157
0,2,6,6,000000B00000000F00F00FF000000000F00BFF0B000000,0,0,4,7,2,7,2,6,0,0,0,0,0,0,647.7360000000002,619.8190000000001,158
0,2,6,6,000000B00000000F00F00FF000000000F00BFF0B0000000,0,0,4,7,2,7,2,6,0,0,0,0,0,0,690.4090000000002,681.2120000000001,168
0,2,6,6,000000B00000000F00F00FF000000000F00BFF0B00000000,0,0,4,7,2,7,2,6,0,0,0,0,0,0,720.3370000000002,716.3940000000001,178
0,2,7,6,000000B00000000F00F00FF000000000F00BFF0B00000000F,0,0,4,7,2,7,2,6,0,1,0,0,0,1,748.6860000000003,749.0290000000001,185
0,2,7,6,000000B00000000F00F00FF000000000F00BFF0B00000000F0,0,0,4,7,2,7,2,6,0,1,0,0,0,1,759.3230000000003,761.2060000000001,186
1,2,8,6,000000B00000000F00F00FF000000000F00BFF0B00000000F00,0,0,4,7,2,7,2,6,0,1,0,0,0,1,759.8980000000004,761.9790000000002,187
1,2,8,6,000000B00000000F00F00FF000000000F00BFF0B00000000F000,0,0,4,7,2,7,2,6,0,1,0,0,0,1,762.4440000000004,764.1210000000002,188
1,2,8,7,000000B00000000F00F00FF000000000F00BFF0B00000000F000F,0,0,4,7,2,7,2,6,0,1,0,0,0,1,789.9890000000004,788.5090000000002,195
1,2,8,8,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF,0,0,4,7,2,8,2,7,0,1,0,0,0,1,804.3960000000004,803.6140000000003,200
1,2,8,9,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0,0,0,4,7,2,8,2,7,0,1,0,0,0,1,805.2080000000004,804.4340000000003,201
1,2,8,9,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF00,0,0,5,7,2,8,2,7,0,1,0,0,0,1,814.5910000000005,817.4170000000003,203
1,2,8,9,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF000,1,0,6,7,2,8,2,7,0,1,0,0,0,1,815.9640000000005,819.5620000000002,203
1,2,8,9,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000,1,0,6,7,3,8,3,7,0,1,0,0,0,1,821.1850000000005,824.4400000000003,204
1,2,8,10,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F,1,0,6,7,3,8,3,7,0,1,0,0,0,1,836.3180000000006,843.8150000000003,208
1,2,8,10,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F0,2,0,7,7,3,8,3,7,0,2,0,1,0,1,837.8070000000006,845.8230000000003,208
1,3,8,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00,2,0,7,7,3,8,3,7,0,2,0,1,0,1,838.7670000000006,847.0700000000003,209
1,3,9,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F,2,0,7,7,3,8,3,7,0,2,0,1,0,1,861.0120000000006,862.1250000000002,213
1,3,9,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F0,2,0,7,8,3,8,3,7,0,2,0,1,0,1,901.2290000000006,898.9490000000002,227
1,3,9,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F00,2,0,7,8,3,8,3,7,0,2,0,1,0,1,931.0230000000006,912.1980000000002,230
1,3,9,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F000,2,0,7,8,3,8,3,7,0,2,0,1,0,1,941.9290000000005,922.1070000000002,233
1,3,9,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F0000,2,0,7,8,3,8,3,7,0,2,0,1,0,1,956.4490000000005,936.9170000000001,237
1,3,9,11,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F00000,2,0,7,8,3,8,3,7,0,2,0,1,0,1,960.4040000000006,940.8580000000002,239
