,,,,,,,,,,,,,,,,,,,,p1 ace球数,p2 ace球数,p1 制胜球,p2 制胜球,,p1双发失误次数,p2双发失误次数,p1非受迫性失误,p2非受迫性失误,上网次数,上网次数,上网得分次数,上网得分次数,破发率,破发率,破发赢次数,破发赢次数,破发输次数,破发输次数,,,,,,,,,,,,,
match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,,,,,,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,3:56:11,4,12,300,2,1,6,5,AD,40,1,1,1,158,142,1,1,12,15,41,48,000F000F00000F000F00000000FF000000000000B0F000000F00000000FFB00000000F0000000F00000B000F0B000000F00000FB0000F0000F000000F00000000000000000000000000000FF00000000000B00F00F00FFFF0000F000000000000F00000000B00000F00000000000000000FF00F0BFF00F000000000F000FB0000000000000F00F000000F0B00F00F000F00B00F0B000,7,3,30,46,25,53,19,29,14,7,5,2,9,5,4517.831,4473.323,987,116,BW,NCTL,ND,,,,,,
2023-wimbledon-1302,Alexander Zverev,Matteo Berrettini,3:13:32,3,13,201,0,2,6,6,5,6,2,1,2,99,102,2,2,12,15,34,36,000000000000B0B000F000F00000000B0000000000000000000B0B0FF00000000F00BB000FF00FB0000FF0000BB00FFF0000F00000FF0000000000000F00000F000000F0B00000B00000000000000000000B0000000F00F0F00F000000000F000000F0000,1,3,23,22,33,15,22,13,1,5,0,1,1,4,2848,2514.428,659,127,W,CTL,,,,,,,
2023-wimbledon-1303,Frances Tiafoe,Grigor Dimitrov,25:37:54,3,8,134,0,2,2,5,15,40,2,1,2,51,83,2,2,5,13,14,33,00000000F0B000000000B0F0F0000BB00000000000000000F00000000B00000000000000000FF0000000F0F000B00000000F0F0000BF00FF0000000000F00FB000B00B,1,3,22,14,21,11,9,11,0,9,0,5,0,4,2183.027,2245.744,524,110,W,CTL,D,,,,,,
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,4:19:56,5,13,337,2,2,6,6,8,9,2,2,2,169,168,2,2,7,19,46,61,0000000000000000000B000000F000FF00BF0F0000000F0FF0FF00BBB000F00F000B000000F000F00000F00000F000BF000BB00000000000B0000000F00B00000000F0F0F00B000000000000FF0B00000B0F0000000F0000FF000000F00F000000B000FF00000000F0F000F00000F000F0F0000000000F0000FB0F0B0B0F000B000000000F00F000000F000000000F0F0B00B0F00000F0000B000F00B0000F0F0F00000F00BB0F0F0,0,9,42,57,31,56,20,33,16,14,4,4,12,10,4254.32,4275.972,1115,97,W,CTL,ND,,,,,,
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,3:04:23,4,10,246,2,1,5,4,40,30,1,1,1,129,117,1,1,6,4,34,47,0B000000B00B0000000F00000F000F0000FB0F0BFB000B00FFF00B00F00F00000F0F0000000000F00F000000F000000FF00000000000F00000B00000F0000B0BBB000F000B00000000B0FF0B000BFFF000F0F00000BBB0B00F00FB000F00000000F0000000F000FF0BF000FF0000000F0000F00000FB0B0F0000B0,5,4,33,45,22,46,15,33,8,5,3,1,5,4,4472.432,4514.297,1046,113,C,CTL,ND,,,,,,
2023-wimbledon-1306,Jiri Lehecka,Tommy Paul,6:19:45,5,8,332,2,2,5,2,40,30,2,1,1,176,156,1,1,19,10,63,33,00BF0B00000B00F000B0B000000F00BF00B00000F0000B0000000000000000000000000000000000FF0F00B00000000F000000000F000F0000BB0FF0000000000B00000000000000F00B0F0FB0F0F0B0000000F0F0000000000000FFF000B00000000000F00F00000F00B000000F0FF000F0000000000BF00BF00F00000FF0000000000000F0000000000FB0F0F000000000000000000000000F0000000B0F0000000F0F0000,4,3,43,37,42,40,35,25,10,5,5,1,5,4,4249.678,4271.249,1021,106,C,CTL,D,,,,,,
2023-wimbledon-1307,Christopher Eubanks,Christopher O'Connell,5:16:48,3,13,232,2,0,6,6,6,2,1,1,1,123,109,1,1,23,5,65,35,0000000000FF0F0000000000F0F000B0000F0B00F000000F000FFFF00000BF0B0F000000FF00F0B00FFB00F00FF0F0BFF000000F0FF00000FB0F0F0000000000000FB0B00000000B00FBB00FF0B00F000000000B00000B00B000FB0000000F00000FF0F0B0B000F00B0000B0BBB00B00FF00B000,4,1,25,12,40,62,28,47,5,3,1,1,4,2,2352.093,2482.266,608,117,BW,NCTL,D,,,,,,
2023-wimbledon-1308,Laslo Djere,Stefanos Tsitsipas,2:10:56,3,10,190,0,2,4,5,0,40,2,1,2,90,100,2,2,4,6,32,26,000000B00000000F00F00FF000000000F00BFF0B00000000F000FF0000F00F0000000B00FB000000F00B00000B0F00BF0F00F000F00FBB000000000F0000000F00000F0000F00000F00F0000B0000000000000000FF00B0B000F00B0FB000F,3,1,18,19,15,23,13,19,4,4,1,3,3,1,2210.113,2244.814,576,124,C,NCTL,ND,,,,,,
2023-wimbledon-1309,Jannik Sinner,Quentin Halys,2:24:44,4,10,213,2,1,5,4,40,15,1,2,1,115,98,1,1,9,14,34,35,F000F000000F0000F000000B0F00F000000000F00FF0B000000F00000000000F0F000F00000000F0000B00B00000B0BF0B0000000000000000000000F0FF00000F0000000000000000000000FB000000F000F00F0F0000FB000000000000F00FF00000000B000000F0F0F,8,9,26,31,14,10,10,7,11,4,5,2,6,2,2087.831,1910.116,562,101,BC,CTL,ND,,,,,,
