match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,serve_width_score,serve_depth_score,return_depth_score,p1_ace_sum,p2_ace_sum,p1_winner_sum,p2_winner_sum,p1_double_fault_sum,p2_double_fault_sum,p1_unf_err_sum,p2_unf_err_sum,p1_break_pt_won_sum,p2_break_pt_won_sum,p1_break_pt_missed_sum,p2_break_pt_missed_sum,p1_Psychological_Factor,p2_Psychological_Factor,p1_Physical_Factor,p2_Physical_Factor,p1_skill_factors,p2_skill_factors,p1_server_factors,p2_server_factors,p1_momentum,p2_momentum,p1_momentum_predict_lightGBM,p2_momentum_predict_lightGBM,p1_p2_momentum_predict_lightGBM_cha
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:00:00,1,1,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,36.719,44.308,9,94,BC,CTL,D,0.4,0.8,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.314315652,0.678538981,0.857446057,0.61163687,0.391257035,0.606953976,0.541597214,0.449123617,0.539735941,0.607359977,0.539735941,0.607359977,-0.067624036
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:00:54,1,1,2,0,0,0,0,0,15,2,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171,1.282,1,114,W,CTL,,0.9,0.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0.21635081,0.775620305,0.952024836,0.730674523,0.004379949,0.99324439,0.004478215,0.995117198,0.270483613,0.93837758,0.270483613,0.93837758,-0.667893967
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:01:14,1,1,3,0,0,0,0,0,30,2,1,2,0,3,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.622,7.731,3,116,C,NCTL,ND,0.5,0.4,0.45,0,1,0,2,0,0,0,0,0,0,0,0,0.146882164,0.849615881,0.925016066,0.792547162,0.340225144,0.665093522,0.008461131,0.999100984,0.205880813,0.839073379,0.205880813,0.839073379,-0.633192566
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:01:38,1,1,4,0,0,0,0,0,40,2,2,1,1,3,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.586,16.589,4,86,B,NCTL,ND,0.65,0.4,0.45,0,1,1,2,0,0,0,0,0,0,0,0,0.24751212,0.741603941,0.776069042,0.539841107,0.275102427,0.713699165,0.549725861,0.457254039,0.397851414,0.682822153,0.397851414,0.682822153,-0.284970739
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:02:15,1,1,5,0,0,0,0,15,40,2,2,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.417,5.974,1,94,BC,NCTL,ND,0.4,0.4,0.45,0,1,1,2,0,0,1,0,0,0,0,0,0.168867137,0.822038462,0.768031345,0.62617915,0.371006175,0.619994818,0.548419099,0.455946991,0.501998997,0.68503073,0.501998997,0.68503073,-0.183031733
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:03:12,1,2,6,0,0,0,1,0,0,1,1,1,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0.552,1,97,W,CTL,,0.9,0.8,0,1,1,2,2,0,0,1,0,0,0,0,0,0.324607605,0.670721645,0.818103972,0.62359292,0.990779004,0.006123291,0.975562786,0.069783835,0.858187233,0.380937232,0.673411007,0.519155588,0.154255419
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:03:26,1,2,7,0,0,0,1,15,0,1,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.154,5.126,1,79,BW,NCTL,D,0.75,0.4,0.85,1,1,2,2,0,0,1,1,0,0,0,0,0.388867453,0.601828615,0.673509189,0.512484419,0.666680011,0.341837903,0.367937513,0.545255754,0.449152956,0.601884235,0.53922079,0.464854514,0.074366276
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:03:51,1,2,8,0,0,0,1,30,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133,5.409,1,105,C,NCTL,ND,0.5,0.4,0.45,1,1,2,2,0,0,1,1,0,0,0,0,0.396470324,0.603942476,0.888236579,0.668206324,0.657728559,0.337082365,0.986503607,0.080727043,0.795443059,0.463556681,0.677316081,0.519194339,0.158121742
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:04:05,1,2,9,0,0,0,1,40,0,1,2,1,5,4,1,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.954,20.247,7,95,C,NCTL,D,0.5,0.4,0.85,1,1,3,2,0,0,1,1,0,0,0,0,0.492623105,0.494441128,0.831709495,0.630720948,0.569815299,0.434576659,0.405273341,0.58259973,0.580386855,0.465035349,0.652706983,0.459105196,0.193601787
2023-wimbledon-2503,Ons Jabeur,Elena Rybakina,0:04:52,1,3,10,0,0,1,1,0,0,2,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.283,5.65,1,103,W,CTL,ND,0.9,0.8,0.45,1,0,3,1,0,0,1,1,0,0,0,0,0.592852394,0.404886261,0.855078149,0.669749021,0.106462857,0.886759114,0.003300479,0.993939205,0.293648554,0.637795635,0.424031021,0.525827763,-0.101796742
