match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_ace_sum,p2_ace_sum,p1_winner_sum,p2_winner_sum,p1_double_fault_sum,p2_double_fault_sum,p1_unf_err_sum,p2_unf_err_sum,p1_break_pt_won_sum,p2_break_pt_won_sum,p1_break_pt_missed_sum,p2_break_pt_missed_sum,serve_width_score,serve_depth_score,return_depth_score,p1_Psychological_Factor,p2_Psychological_Factor,p1_Physical_Factor,p2_Physical_Factor,p1_skill_factors,p2_skill_factors,p1_server_factors,p2_server_factors,p1_momentum,p2_momentum
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661,4.341,1,111,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.8,0.85,0.5542501,0.442763344,0.489441325,0.422185077,0.21827384,0.786965611,0.004584826,0.995114943,0.351758918,0.664114072
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:25,1,1,2,0,0,0,0,0,15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.502,22.307,4,126,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.4,0.45,0.551932283,0.442763344,0.583998338,0.448261062,0.241396138,0.751359251,0.005318729,0.995848843,0.283087275,0.68140355
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:01:19,1,1,3,0,0,0,0,15,15,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786,2.926,2,102,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0.4,0.45,0.602907427,0.391997813,0.455944098,0.393131331,0.242401781,0.752364761,0.276575242,0.731662145,0.441153072,0.669618834
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:02:17,1,1,4,0,0,0,0,30,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,4.209,1,120,0,0,1,0,0,0,0,0,0,0,0,0,0.4,0.8,0.45,0.603679601,0.391997813,0.525073113,0.453277009,0.314246851,0.681950238,0.272107262,0.727194185,0.356160316,0.613765608
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:02,1,1,5,0,0,0,0,30,30,2,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.881,8.676,2,108,0,0,1,0,0,0,0,1,0,0,0,0,0.9,0.8,0.45,0.661222052,0.332620264,0.464139918,0.431090007,0.122107467,0.886313142,0.007042482,0.997572589,0.249508651,0.757309196
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:38,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.293,7.704,1,127,0,0,1,0,0,0,0,1,0,0,1,0,0.9,0.4,0.85,0.63909967,0.361394251,0.557440888,0.472305302,0.278139137,0.711539268,0.007772847,0.99830295,0.276391131,0.58778669
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:05,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.283,19.531,5,111,0,0,1,1,0,0,0,1,0,0,1,0,0.9,0.8,0.45,0.572991898,0.427384471,0.485985304,0.443621054,0.121722929,0.885928656,0.005535237,0.99606535,0.354985099,0.807327653
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:41,1,1,8,0,0,0,0,40,AD,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.179,24.58,6,124,0,0,1,1,0,0,0,1,0,0,1,0,0.75,0.4,0.85,0.57239542,0.427384471,0.566695795,0.460548881,0.338701064,0.653150122,0.003624303,0.994154424,0.305642961,0.659453687
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:03,1,1,9,0,0,0,0,40,40,2,1,2,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.115,28.599,7,127,0,0,1,1,0,0,1,1,0,0,1,0,0.5,0.4,0.85,0.504947427,0.489578208,0.568484869,0.486487313,0.446567406,0.562763758,0.009388603,0.999918699,0.416497581,0.599114003
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:43,1,1,10,0,0,0,0,40,AD,2,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.941,7.816,1,125,0,0,1,1,0,0,1,1,0,0,1,0,0.9,0.8,0.45,0.511231003,0.489578208,0.540982532,0.474853935,0.1185545,0.882760645,0.004371814,0.994901932,0.167209101,0.667491996
